iter	Passed	Remaining
704	909	380
705	911	379
706	913	378
707	913	376
708	914	375
709	915	373
710	915	372
711	916	370
712	916	368
713	917	367
714	917	365
715	918	364
716	920	363
717	920	361
718	921	359
719	932	362
720	932	360
721	940	362
722	940	360
723	941	358
724	948	359
725	948	358
726	949	356
727	949	354
728	960	357
729	962	355
730	962	354
731	963	352
732	963	351
733	970	351
734	973	351
735	974	349
736	976	348
737	977	347
738	978	345
739	984	345
740	985	344
741	990	344
742	991	342
743	993	341
744	995	340
745	996	339
746	1001	339
747	1002	337
748	1003	336
749	1003	334
750	1011	335
751	1011	333
752	1012	332
753	1015	331
754	1016	329
755	1016	328
756	1018	326
757	1019	325
758	1020	323
759	1021	322
760	1022	321
761	1022	319
762	1027	319
763	1027	317
764	1028	315
765	1029	314
766	1029	312
767	1030	311
768	1031	309
769	1032	308
770	1032	306
771	1034	305
772	1034	303
773	1035	302
774	1037	301
775	1037	299
776	1038	298
777	1039	296
778	1042	295
779	1044	294
780	1045	293
781	1046	291
782	1046	290
783	1047	288
784	1047	287
785	1049	285
786	1049	284
787	1050	282
788	1053	281
789	1053	280
790	1054	278
791	1059	278
792	1062	277
793	1068	277
794	1068	275
795	1071	274
796	1072	273
797	1072	271
798	1076	270
799	1076	269
800	1083	269
801	1083	267
802	1089	267
803	1091	266
804	1092	264
805	1092	263
806	1096	262
807	1096	260
808	1097	259
809	1100	258
810	1100	256
811	1101	254
812	1102	253
813	1103	252
814	1103	250
815	1104	248
816	1104	247
817	1105	245
818	1105	244
819	1109	243
820	1110	242
821	1111	240
822	1111	239
823	1112	237
824	1113	236
825	1114	234
826	1114	233
827	1115	231
828	1116	230
829	1116	228
830	1118	227
831	1118	225
832	1119	224
833	1120	222
834	1120	221
835	1121	220
836	1122	218
837	1123	217
838	1123	215
839	1124	214
840	1125	212
841	1125	211
842	1126	209
843	1127	208
844	1127	206
845	1128	205
846	1129	203
847	1129	202
848	1130	201
849	1131	199
850	1132	198
851	1132	196
852	1133	195
853	1134	193
854	1139	193
855	1140	191
856	1142	190
857	1143	189
858	1143	187
859	1144	186
860	1145	184
861	1145	183
862	1146	182
863	1147	180
864	1147	179
865	1148	177
866	1149	176
867	1149	174
868	1150	173
869	1151	172
870	1151	170
871	1152	169
872	1153	167
873	1154	166
874	1154	164
875	1155	163
876	1156	162
877	1156	160
878	1157	159
879	1158	157
880	1158	156
881	1159	155
882	1160	153
883	1161	152
884	1161	150
885	1162	149
886	1163	148
887	1165	146
888	1165	145
889	1166	144
890	1167	142
891	1168	141
892	1169	140
893	1169	138
894	1170	137
895	1171	135
896	1172	134
897	1172	133
898	1173	131
899	1174	130
900	1174	129
901	1175	127
902	1176	126
903	1176	124
904	1177	123
905	1178	122
906	1178	120
907	1179	119
908	1180	118
909	1180	116
910	1181	115
911	1182	114
912	1182	112
913	1183	111
914	1184	110
915	1185	108
916	1185	107
917	1186	105
918	1187	104
919	1187	103
920	1188	101
921	1189	100
922	1189	99
923	1190	97
924	1191	96
925	1191	95
926	1192	93
927	1193	92
928	1194	91
929	1195	89
930	1195	88
931	1196	87
932	1197	85
933	1198	84
934	1198	83
935	1199	82
936	1200	80
937	1201	79
938	1202	78
939	1202	76
940	1203	75
941	1204	74
942	1205	72
943	1205	71
944	1206	70
945	1207	68
946	1207	67
947	1208	66
948	1209	64
949	1209	63
950	1210	62
951	1211	61
952	1211	59
953	1212	58
954	1213	57
955	1213	55
956	1214	54
957	1215	53
958	1215	51
959	1216	50
960	1217	49
961	1217	48
962	1218	46
963	1219	45
964	1219	44
965	1220	42
966	1221	41
967	1221	40
968	1222	39
969	1223	37
970	1223	36
971	1224	35
972	1225	34
973	1226	32
974	1226	31
975	1227	30
976	1228	28
977	1228	27
978	1229	26
979	1230	25
980	1230	23
981	1231	22
982	1233	21
983	1233	20
984	1235	18
985	1236	17
986	1236	16
987	1237	15
988	1237	13
989	1238	12
990	1238	11
991	1239	9
992	1239	8
993	1240	7
994	1240	6
995	1241	4
996	1241	3
997	1242	2
998	1242	1
999	1243	0
7	28
980	1377	26
981	1378	25
982	1379	23
